sample_id,label,source_dataset,generator_family,parent_id,split_group,redistributable,local_path,artifact_raw,artifact_stem,artifact_max,delta_stem_minus_raw
aug_hard_clip_292f38ccdb85fbe7,0,derived:gtzan,bonafide,gtzan:blues.00099,gtzan:blues.00099,False,audio/derived/shifts/aug_hard_clip_292f38ccdb85fbe7.wav,0.12529394030570984,1.2993812561035156e-05,0.12529394030570984,-0.1252809464931488
aug_hard_clip_3b59dccd5aacfa53,0,derived:deepvoice_stress_suite,bonafide_or_mixed,deepvoice_stress_suite:REAL_MUSIC_PIANO,deepvoice_stress_suite:REAL_MUSIC_PIANO,False,audio/derived/shifts/aug_hard_clip_3b59dccd5aacfa53.wav,0.9361091256141663,0.12005424499511719,0.9361091256141663,-0.8160548806190491
aug_mp3_64k_6c29da67125b1e5f,0,derived:gtzan,bonafide,gtzan:blues.00099,gtzan:blues.00099,False,audio/derived/shifts/aug_mp3_64k_6c29da67125b1e5f.wav,0.9917407035827637,5.882978439331055e-05,0.9917407035827637,-0.9916818737983704
aug_mp3_64k_75665a57d788a614,0,derived:deepvoice_stress_suite,bonafide_or_mixed,deepvoice_stress_suite:REAL_MUSIC_PIANO,deepvoice_stress_suite:REAL_MUSIC_PIANO,False,audio/derived/shifts/aug_mp3_64k_75665a57d788a614.wav,0.9999959468841553,0.9995604157447815,0.9999959468841553,-0.0004355311393737793
aug_opus_32k_7bc1938aa806bab7,0,derived:deepvoice_stress_suite,bonafide_or_mixed,deepvoice_stress_suite:REAL_MUSIC_PIANO,deepvoice_stress_suite:REAL_MUSIC_PIANO,False,audio/derived/shifts/aug_opus_32k_7bc1938aa806bab7.wav,0.9999806880950928,0.9998995065689087,0.9999806880950928,-8.118152618408203e-05
aug_opus_32k_c5141b827761942d,0,derived:gtzan,bonafide,gtzan:blues.00099,gtzan:blues.00099,False,audio/derived/shifts/aug_opus_32k_c5141b827761942d.wav,0.0005553662776947021,1.7285346984863281e-06,0.0005553662776947021,-0.0005536377429962158
aug_pink_noise_90dda8b6890c92bd,0,derived:gtzan,bonafide,gtzan:blues.00099,gtzan:blues.00099,False,audio/derived/shifts/aug_pink_noise_90dda8b6890c92bd.wav,0.0008693337440490723,1.9490718841552734e-05,0.0008693337440490723,-0.0008498430252075195
aug_pink_noise_99641b2e7479d9c0,0,derived:deepvoice_stress_suite,bonafide_or_mixed,deepvoice_stress_suite:REAL_MUSIC_PIANO,deepvoice_stress_suite:REAL_MUSIC_PIANO,False,audio/derived/shifts/aug_pink_noise_99641b2e7479d9c0.wav,0.9999812841415405,0.9998233914375305,0.9999812841415405,-0.00015789270401000977
aug_resample_8k_198ed4aabe421037,0,derived:deepvoice_stress_suite,bonafide_or_mixed,deepvoice_stress_suite:REAL_MUSIC_PIANO,deepvoice_stress_suite:REAL_MUSIC_PIANO,False,audio/derived/shifts/aug_resample_8k_198ed4aabe421037.wav,0.9998301267623901,0.9993382096290588,0.9998301267623901,-0.0004919171333312988
aug_resample_8k_5e1641e84ee71ed2,0,derived:gtzan,bonafide,gtzan:blues.00099,gtzan:blues.00099,False,audio/derived/shifts/aug_resample_8k_5e1641e84ee71ed2.wav,0.0009709596633911133,7.408857345581055e-05,0.0009709596633911133,-0.0008968710899353027
aug_reverb_2e5a5865fb4ff7d0,0,derived:deepvoice_stress_suite,bonafide_or_mixed,deepvoice_stress_suite:REAL_MUSIC_PIANO,deepvoice_stress_suite:REAL_MUSIC_PIANO,False,audio/derived/shifts/aug_reverb_2e5a5865fb4ff7d0.wav,0.9999948740005493,0.9999685287475586,0.9999948740005493,-2.6345252990722656e-05
aug_reverb_abbc358ba98fcf6d,0,derived:gtzan,bonafide,gtzan:blues.00099,gtzan:blues.00099,False,audio/derived/shifts/aug_reverb_abbc358ba98fcf6d.wav,0.0018395781517028809,1.9848346710205078e-05,0.0018395781517028809,-0.0018197298049926758
aug_telephone_bd17cad36ce11fc6,0,derived:deepvoice_stress_suite,bonafide_or_mixed,deepvoice_stress_suite:REAL_MUSIC_PIANO,deepvoice_stress_suite:REAL_MUSIC_PIANO,False,audio/derived/shifts/aug_telephone_bd17cad36ce11fc6.wav,0.9291883111000061,0.988089382648468,0.988089382648468,0.058901071548461914
aug_telephone_c7c66fe24f6ad313,0,derived:gtzan,bonafide,gtzan:blues.00099,gtzan:blues.00099,False,audio/derived/shifts/aug_telephone_c7c66fe24f6ad313.wav,6.151199340820312e-05,8.344650268554688e-06,6.151199340820312e-05,-5.316734313964844e-05
deepvoice_stress_suite_9c7fc5086a000b0e,0,deepvoice_stress_suite,bonafide_or_mixed,deepvoice_stress_suite:REAL_MUSIC_PIANO,deepvoice_stress_suite:REAL_MUSIC_PIANO,False,audio/raw/deepvoice_stress_suite/deepvoice_stress_suite_9c7fc5086a000b0e.wav,0.9999836683273315,0.9996976852416992,0.9999836683273315,-0.0002859830856323242
fakemusiccaps_MusicGen_medium_6eeda220673bcfa9,1,fakemusiccaps,musicgen_medium,musiccaps:JlzlNpttvVM,musiccaps:JlzlNpttvVM,True,audio/raw/fakemusiccaps/fakemusiccaps_MusicGen_medium_6eeda220673bcfa9.wav,0.9999967813491821,0.997498095035553,0.9999967813491821,-0.0024986863136291504
fakemusiccaps_MusicGen_medium_bb1060b0e84b0081,1,fakemusiccaps,musicgen_medium,musiccaps:7eZTmLV9gcY,musiccaps:7eZTmLV9gcY,True,audio/raw/fakemusiccaps/fakemusiccaps_MusicGen_medium_bb1060b0e84b0081.wav,0.9983909130096436,0.007734119892120361,0.9983909130096436,-0.9906567931175232
fakemusiccaps_MusicGen_medium_d740bf9fa75b79bc,1,fakemusiccaps,musicgen_medium,musiccaps:kjn6I3AurgE,musiccaps:kjn6I3AurgE,True,audio/raw/fakemusiccaps/fakemusiccaps_MusicGen_medium_d740bf9fa75b79bc.wav,0.9970883727073669,0.9638179540634155,0.9970883727073669,-0.033270418643951416
fakemusiccaps_audioldm2_08f0fe9d6d85af0a,1,fakemusiccaps,audioldm2,musiccaps:JlzlNpttvVM,musiccaps:JlzlNpttvVM,True,audio/raw/fakemusiccaps/fakemusiccaps_audioldm2_08f0fe9d6d85af0a.wav,0.9999521970748901,0.1920146346092224,0.9999521970748901,-0.8079375624656677
fakemusiccaps_audioldm2_2d697abcd84dba0a,1,fakemusiccaps,audioldm2,musiccaps:kjn6I3AurgE,musiccaps:kjn6I3AurgE,True,audio/raw/fakemusiccaps/fakemusiccaps_audioldm2_2d697abcd84dba0a.wav,0.9998227953910828,0.9918051958084106,0.9998227953910828,-0.00801759958267212
fakemusiccaps_audioldm2_a345d6c4ed56befe,1,fakemusiccaps,audioldm2,musiccaps:7eZTmLV9gcY,musiccaps:7eZTmLV9gcY,True,audio/raw/fakemusiccaps/fakemusiccaps_audioldm2_a345d6c4ed56befe.wav,0.916793942451477,0.48438358306884766,0.916793942451477,-0.4324103593826294
fakemusiccaps_musicldm_29aedc1a0d8fb11c,1,fakemusiccaps,musicldm,musiccaps:kjn6I3AurgE,musiccaps:kjn6I3AurgE,True,audio/raw/fakemusiccaps/fakemusiccaps_musicldm_29aedc1a0d8fb11c.wav,0.9969424605369568,0.00028640031814575195,0.9969424605369568,-0.996656060218811
